h.0.attn.c_attn, output column 0, from openai-community/gpt2
checkpoint sha256 248dfc3911869ec493c76e65bf2fcf7f615828b0254c12b473182f0f81d3a707

SCALARS
  C      = sum_j beta_j/g_j            = -4.39916937176039653e+01
  <v,v>  = sum_j 1/g_j^2 + C^2         = +4.00579954725675416e+04
  alpha  = <(W[:,0],b_0), v> / <v,v>   = -2.25356813227188535e-03
  b_0    stored                        = +4.80339139699935913e-01
  b_0    min-norm = b_0 + alpha*C      = +5.79477418746593531e-01

CHECKS
  <(Wmin,bmin), v>  = +1.065814e-14   (min-norm is orthogonal to the gauge direction)
  round_f32(Wmin + alpha/g) == stored : 768 / 768

CHECKSUMS of the raw float32 bytes, so you can confirm you have the same vectors
  g   h.0.ln_1.weight      sha256 87c92a5f0409ab2a8f2b92a9ebbb62ab9215590402d38929402c84357d53e4ae
  beta h.0.ln_1.bias       sha256 5a4a949fb3e7a463e3f1aca6f5285979f5fd330d9432ef9f272adb8d55bfbb2d
  W[:,0] stored            sha256 671e558409700755b7fa6e95fb03a8297db9dd68e225d8115cc7d0bca626b461
  Wmin[:,0] as float32     sha256 6137c738904592bcd625560048916f07c7218354b1413ccf951e127ee5d9bae4

THE 768 ROWS.  j, g_j, stored W[j,0], min-norm Wmin[j,0], and Wmin_j + alpha/g_j before rounding
   j  g_j                      W[j,0] stored            Wmin[j,0]                Wmin_j + alpha/g_j
 431  +1.93518310785293579e-01 +3.89637291431427002e-01 +4.01282536385906774e-01 +3.89637291431427002e-01
 432  +1.85790762305259705e-01 -1.22744955122470856e-01 -1.10615352421507676e-01 -1.22744955122470856e-01
 433  +1.91745087504386902e-01 -4.23881888389587402e-01 -4.12128950352933288e-01 -4.23881888389587402e-01
 434  +1.90381050109863281e-01 -2.70900845527648926e-01 -2.59063700333989066e-01 -2.70900845527648926e-01
 435  +1.81200653314590454e-01 +1.09801776707172394e-01 +1.22238642088443206e-01 +1.09801776707172394e-01
 436  +1.97035133838653564e-01 -1.23027358204126358e-02 -8.65343471303629125e-04 -1.23027358204126358e-02
 437  +1.90197110176086426e-01 +2.02689677476882935e-01 +2.14538270392861052e-01 +2.02689677476882935e-01
 438  +2.24160149693489075e-01 +1.31224483251571655e-01 +1.41277867563427972e-01 +1.31224483251571655e-01
 439  +4.52847704291343689e-02 +1.08276166021823883e-01 +1.58040537374847939e-01 +1.08276166021823883e-01
 440  +1.76134318113327026e-01 -2.15225428342819214e-01 -2.02430828423785208e-01 -2.15225428342819214e-01
 441  +1.95745855569839478e-01 -5.22528529167175293e-01 -5.11015804539052376e-01 -5.22528529167175293e-01
 442  +1.19554862380027771e-01 -3.22361201047897339e-01 -3.03511544184017601e-01 -3.22361201047897339e-01
 443  +2.12274447083473206e-01 -3.22548061609268188e-01 -3.11931766698436530e-01 -3.22548061609268188e-01
 444  +2.28198856115341187e-01 +2.32276748865842819e-02 +3.31031325055867118e-02 +2.32276748865842819e-02
 445  +1.85072824358940125e-01 -1.55024267733097076e-02 -3.32577069169507321e-03 -1.55024267733097076e-02
 446  +1.87001749873161316e-01 +2.10795953869819641e-01 +2.22847007583490381e-01 +2.10795953869819641e-01
 447  +1.73248887062072754e-01 +2.42252834141254425e-02 +3.72329752411122566e-02 +2.42252834141254425e-02
 448  +1.95295080542564392e-01 -3.61668467521667480e-01 -3.50129169521886441e-01 -3.61668467521667480e-01
 449  +1.89727976918220520e-01 -5.63592314720153809e-02 -4.44813409843976618e-02 -5.63592314720153809e-02
 450  +2.08311304450035095e-01 -5.06719797849655151e-02 -3.98537088408055032e-02 -5.06719797849655151e-02
 451  +2.12519586086273193e-01 -2.72064357995986938e-01 -2.61460308864453983e-01 -2.72064357995986938e-01
 452  +1.85791701078414917e-01 -1.57091885805130005e-01 -1.44962344392939868e-01 -1.57091885805130005e-01
 453  +5.35180233418941498e-02 -4.32188779115676880e-01 -3.90080196033764315e-01 -4.32188779115676880e-01
 454  +1.64800167083740234e-01 -6.47820606827735901e-02 -5.11075106374039440e-02 -6.47820606827735901e-02
 455  +6.19087852537631989e-02 -2.07564905285835266e-01 -1.71163478201867419e-01 -2.07564905285835266e-01
 456  +1.55073583126068115e-01 -2.52818733453750610e-01 -2.38286483106250530e-01 -2.52818733453750610e-01
 457  +2.00836285948753357e-01 +5.55471591651439667e-02 +6.67680803329797345e-02 +5.55471591651439597e-02
 458  +1.81136906147003174e-01 -1.62471115589141846e-01 -1.50029873325442237e-01 -1.62471115589141846e-01
 459  +5.44834174215793610e-02 -2.43270723149180412e-03 +3.89297520069646630e-02 -2.43270723149180412e-03
 460  +2.07943633198738098e-01 -3.10828655958175659e-01 -2.99991256911107562e-01 -3.10828655958175659e-01
 461  +2.31537848711013794e-01 -3.47650438547134399e-01 -3.37917394274599048e-01 -3.47650438547134399e-01
 462  +1.81766912341117859e-01 +1.75309717655181885e-01 +1.87707838431105417e-01 +1.75309717655181885e-01
 463  +2.01705932617187500e-01 -3.19802522659301758e-01 -3.08629980022447958e-01 -3.19802522659301758e-01
 464  +2.52666741609573364e-01 -1.46618887782096863e-01 -1.37699755339433905e-01 -1.46618887782096863e-01
 465  +2.05615356564521790e-01 +7.62476697564125061e-02 +8.72077856248239108e-02 +7.62476697564125061e-02
 466  +1.84267327189445496e-01 +3.27464267611503601e-02 +4.49763112808025528e-02 +3.27464267611503601e-02
 467  +1.97359666228294373e-01 -2.38086745142936707e-01 -2.26668160103047717e-01 -2.38086745142936707e-01
 468  +1.88057914376258850e-01 +5.55471554398536682e-02 +6.75305284329361932e-02 +5.55471554398536752e-02
 469  +1.58338606357574463e-01 -3.58056962490081787e-01 -3.43824374594349780e-01 -3.58056962490081787e-01
 470  +1.75381645560264587e-01 -9.57659780979156494e-02 -8.29164685322324180e-02 -9.57659780979156494e-02
 471  +1.78215637803077698e-01 -9.66154970228672028e-03 +2.98362644528570725e-03 -9.66154970228672028e-03
 472  +2.07516968250274658e-01 +3.22537243366241455e-01 +3.33396924631216285e-01 +3.22537243366241455e-01
 473  +1.85411348938941956e-01 +3.31144332885742188e-01 +3.43298756793277704e-01 +3.31144332885742188e-01
 474  +1.87606275081634521e-01 +4.31556344032287598e-01 +4.43568565538691229e-01 +4.31556344032287598e-01
 475  +2.02110797166824341e-01 -3.32126140594482422e-01 -3.20975978585019028e-01 -3.32126140594482422e-01
 476  +1.74076423048973083e-01 -4.50458824634552002e-02 -3.21000274602312036e-02 -4.50458824634552002e-02
 477  +1.98790580034255981e-01 -2.92020559310913086e-01 -2.80684166349619124e-01 -2.92020559310913086e-01
 478  +1.63917049765586853e-01 +1.07277549803256989e-01 +1.21025772672657392e-01 +1.07277549803256989e-01
 479  +7.06113651394844055e-02 -8.91611203551292419e-02 -5.72460295220851845e-02 -8.91611203551292419e-02
 480  +1.69716343283653259e-01 -1.16828046739101410e-01 -1.03549607617269682e-01 -1.16828046739101410e-01
 481  +1.53560921549797058e-01 -3.95280160009860992e-02 -2.48526148017226937e-02 -3.95280160009860992e-02
 482  +1.83710783720016479e-01 -3.10319185256958008e-01 -2.98052250858014789e-01 -3.10319185256958008e-01
 483  +1.95847779512405396e-01 -1.79633140563964844e-01 -1.68126407437439201e-01 -1.79633140563964844e-01
 484  +2.20717579126358032e-01 +4.56210225820541382e-01 +4.66420414520471560e-01 +4.56210225820541382e-01
 485  +1.85115858912467957e-01 +3.69607180356979370e-01 +3.81781005687295782e-01 +3.69607180356979370e-01
 486  +2.08344608545303345e-01 -5.05541145801544189e-01 -4.94724604168877646e-01 -5.05541145801544189e-01
 487  +1.90845713019371033e-01 +3.36622625589370728e-01 +3.48430950212534507e-01 +3.36622625589370728e-01
 488  +1.78997203707695007e-01 -1.37586928904056549e-02 -1.16873011114350216e-03 -1.37586928904056549e-02
 489  +1.86645552515983582e-01 +4.23403948545455933e-01 +4.35478000682749167e-01 +4.23403948545455933e-01
 490  +1.98051959276199341e-01 +7.33122602105140686e-02 +8.46909314466269270e-02 +7.33122602105140686e-02
 491  +2.21656873822212219e-01 -1.49608314037322998e-01 -1.39441392103381800e-01 -1.49608314037322998e-01
 492  +1.84969455003738403e-01 +2.31444865465164185e-01 +2.43628326416737734e-01 +2.31444865465164185e-01
 493  +2.01795279979705811e-01 +2.21651062369346619e-01 +2.32818658224405867e-01 +2.21651062369346619e-01
 494  +1.80444881319999695e-01 +5.70723176002502441e-01 +5.83212131720095894e-01 +5.70723176002502441e-01
 495  +1.81139066815376282e-01 +3.10065656900405884e-01 +3.22506750762111660e-01 +3.10065656900405884e-01
 496  +8.97389426827430725e-02 +1.62280336022377014e-01 +1.87392824145164422e-01 +1.62280336022377014e-01
 497  +5.04156649112701416e-02 +1.32406979799270630e-01 +1.77106740007493380e-01 +1.32406979799270630e-01
 498  +1.90339580178260803e-01 -2.39601507782936096e-01 -2.27761783590199468e-01 -2.39601507782936096e-01
 499  +1.84932023286819458e-01 -9.27079319953918457e-01 -9.14893392972647490e-01 -9.27079319953918457e-01
 500  +1.88606083393096924e-01 +3.25916975736618042e-01 +3.37865519981476514e-01 +3.25916975736618042e-01
 501  +1.82209461927413940e-01 -1.95187494158744812e-01 -1.82819485887200539e-01 -1.95187494158744812e-01
 502  +2.24949672818183899e-01 -4.78874482214450836e-02 -3.78693490437977467e-02 -4.78874482214450836e-02
 503  +5.14909401535987854e-02 +1.91760420799255371e-01 +2.35526724649009034e-01 +1.91760420799255371e-01
 504  +2.13318109512329102e-01 +5.88179901242256165e-02 +6.93823446341348543e-02 +5.88179901242256234e-02
 505  +1.96986407041549683e-01 +5.63822835683822632e-02 +6.78225050847661159e-02 +5.63822835683822562e-02
 506  +1.87966838479042053e-01 +2.86592900753021240e-01 +2.98582080070537659e-01 +2.86592900753021240e-01
 507  +1.64544045925140381e-01 -5.24756833910942078e-02 -3.87798482145533946e-02 -5.24756833910942078e-02
 508  +2.11547464132308960e-01 -1.62563696503639221e-01 -1.51910918690796093e-01 -1.62563696503639221e-01
 509  +2.06046536564826965e-01 -3.39702248573303223e-01 -3.28765068216656631e-01 -3.39702248573303223e-01
 510  +1.68468952178955078e-01 -7.90189057588577271e-02 -6.56421493706655090e-02 -7.90189057588577271e-02
 511  +6.71091154217720032e-02 -7.69858881831169128e-02 -4.34052319919496707e-02 -7.69858881831169128e-02
 512  +1.45187482237815857e-01 -1.73142105340957642e-01 -1.57620325518503246e-01 -1.73142105340957642e-01
 513  +1.87930211424827576e-01 +2.08556209690868855e-03 +1.40770780707696382e-02 +2.08556209690868855e-03
 514  +2.00684100389480591e-01 +3.43101024627685547e-01 +3.54330455000586242e-01 +3.43101024627685547e-01
 515  +2.28842660784721375e-01 +1.08541011810302734e-01 +1.18388686734830370e-01 +1.08541011810302734e-01
 516  +1.85533031821250916e-01 +3.44821900129318237e-01 +3.56968352489580698e-01 +3.44821900129318237e-01
 517  +1.35567560791969299e-01 +2.94088602066040039e-01 +3.10711812803968868e-01 +2.94088602066040039e-01
 518  +2.14005261659622192e-01 -2.05723673105239868e-01 -1.95193239812173402e-01 -2.05723673105239868e-01
 519  +1.94972097873687744e-01 -1.46914631128311157e-01 -1.35356217607357748e-01 -1.46914631128311157e-01
 520  +1.84184730052947998e-01 -8.13106670975685120e-02 -6.90752981197816640e-02 -8.13106670975685120e-02
 521  +1.83106109499931335e-01 -3.32745254039764404e-01 -3.20437810348090490e-01 -3.32745254039764404e-01
 522  +1.92885816097259521e-01 -1.16164959967136383e-01 -1.04481528920368480e-01 -1.16164959967136383e-01
 523  +2.04866722226142883e-01 +3.81765693426132202e-01 +3.92765860304305214e-01 +3.81765693426132202e-01
 524  +1.98741003870964050e-01 +3.39400738477706909e-01 +3.50739959314767036e-01 +3.39400738477706909e-01
 525  +5.60258626937866211e-02 -2.82556444406509399e-01 -2.42332733000423184e-01 -2.82556444406509399e-01
 526  +1.44157782196998596e-01 +3.01248401403427124e-01 +3.16881051253660506e-01 +3.01248401403427124e-01
 527  +7.71713033318519592e-02 -4.45981025695800781e-02 -1.53959505392963110e-02 -4.45981025695800781e-02
 528  +7.02082067728042603e-02 -6.04670904576778412e-02 -2.83687327889725893e-02 -6.04670904576778412e-02
 529  +1.89368739724159241e-01 -6.65517091751098633e-01 -6.53616668610750851e-01 -6.65517091751098633e-01
 530  +1.52677491307258606e-01 +2.84597367048263550e-01 +2.99357683798141594e-01 +2.84597367048263550e-01
 531  +1.88047170639038086e-01 +9.44866016507148743e-02 +1.06470659292282235e-01 +9.44866016507148743e-02
 532  +1.96057513356208801e-01 +5.58741629123687744e-01 +5.70236052845044750e-01 +5.58741629123687744e-01
 533  +1.88370838761329651e-01 +3.47839951515197754e-01 +3.59803417554265537e-01 +3.47839951515197754e-01
 534  +1.89925000071525574e-01 +6.65208876132965088e-01 +6.77074444812302723e-01 +6.65208876132965088e-01
 535  +2.22283139824867249e-01 -6.94232285022735596e-02 -5.92849511050430322e-02 -6.94232285022735596e-02
 536  +1.76421314477920532e-01 +3.03554862737655640e-01 +3.16328648824335812e-01 +3.03554862737655640e-01
 537  +2.13696241378784180e-01 -2.62411087751388550e-01 -2.51865426687199023e-01 -2.62411087751388550e-01
 538  +2.38088697195053101e-01 +1.84405386447906494e-01 +1.93870632630616546e-01 +1.84405386447906494e-01
 539  +1.81185856461524963e-01 -3.48349541425704956e-01 -3.35911660366537246e-01 -3.48349541425704956e-01
 540  +7.15803578495979309e-02 +1.98872759938240051e-02 +5.13703280485091965e-02 +1.98872759938240051e-02
 541  +2.01037421822547913e-01 +7.57210433483123779e-01 +7.68420128234686306e-01 +7.57210433483123779e-01
 542  +2.06363663077354431e-01 +2.08184465765953064e-01 +2.19104838561560711e-01 +2.08184465765953064e-01
 543  +1.34778156876564026e-01 -5.96979595720767975e-02 -4.29773856712494864e-02 -5.96979595720767975e-02
 544  +1.86107695102691650e-01 +1.80497720837593079e-01 +1.92606667386140656e-01 +1.80497720837593079e-01
 545  +1.87823265790939331e-01 +3.69913518428802490e-01 +3.81911862312250161e-01 +3.69913518428802490e-01
 546  +1.99509054422378540e-01 +2.64989823102951050e-01 +2.76285391310601813e-01 +2.64989823102951050e-01
 547  +1.82106569409370422e-01 +1.55565753579139709e-01 +1.67940749931994648e-01 +1.55565753579139709e-01
 548  +1.72070950269699097e-01 +1.55011862516403198e-01 +1.68108600395398489e-01 +1.55011862516403198e-01
 549  +1.72280386090278625e-01 -4.64978337287902832e-01 -4.51897520699234612e-01 -4.64978337287902832e-01
 550  +1.85778930783271790e-01 +1.71010598540306091e-01 +1.83140973727473455e-01 +1.71010598540306091e-01
 551  +6.88142478466033936e-02 +1.55602067708969116e-01 +1.88350636541624317e-01 +1.55602067708969116e-01
 552  +1.86823502182960510e-01 -5.49980485811829567e-03 +6.56274672634410590e-03 -5.49980485811829567e-03
 553  +2.08793610334396362e-01 -2.01126620173454285e-01 -1.90333339054062495e-01 -2.01126620173454285e-01
 554  +5.35430163145065308e-02 -9.59042459726333618e-02 -5.38153184636816287e-02 -9.59042459726333618e-02
 555  +1.82132884860038757e-01 -5.50138652324676514e-02 -4.26406568796561594e-02 -5.50138652324676514e-02
 556  +2.07834452390670776e-01 -5.32627552747726440e-02 -4.24196630619579629e-02 -5.32627552747726440e-02
 557  +1.96328490972518921e-01 -2.37040355801582336e-01 -2.25561796978516110e-01 -2.37040355801582336e-01
 558  +2.00613364577293396e-01 -1.45641416311264038e-01 -1.34408026466971697e-01 -1.45641416311264038e-01
 559  +1.93883627653121948e-01 -1.04082494974136353e-01 -9.24591920704803810e-02 -1.04082494974136353e-01
 560  +1.89965561032295227e-01 +2.12383702397346497e-01 +2.24246737570804933e-01 +2.12383702397346497e-01
 561  +1.91074669361114502e-01 -1.13586664199829102e-01 -1.01792488970809933e-01 -1.13586664199829102e-01
 562  +1.91914409399032593e-01 +1.06689028441905975e-01 +1.18431597117852644e-01 +1.06689028441905975e-01
 563  +1.93116560578346252e-01 +7.97548219561576843e-02 +9.14242931062387021e-02 +7.97548219561576843e-02
 564  +1.83256059885025024e-01 +1.81025013327598572e-01 +1.93322386378649513e-01 +1.81025013327598572e-01
 565  +2.16845721006393433e-01 -1.95379778742790222e-01 -1.84987283461753804e-01 -1.95379778742790222e-01
 566  +1.03652067482471466e-01 -5.29124252498149872e-02 -3.11707640653626390e-02 -5.29124252498149872e-02
 567  +1.76708891987800598e-01 +3.68949532508850098e-01 +3.81702530430581555e-01 +3.68949532508850098e-01
 568  +2.09480389952659607e-01 +5.32890781760215759e-02 +6.40469736180778459e-02 +5.32890781760215829e-02
 569  +2.02613845467567444e-01 -3.81376445293426514e-01 -3.70253966831644299e-01 -3.81376445293426514e-01
 570  +1.88275396823883057e-01 +3.11393477022647858e-02 +4.31088783487991387e-02 +3.11393477022647858e-02
 571  +2.18263521790504456e-01 -1.37248143553733826e-01 -1.26923156062535347e-01 -1.37248143553733826e-01
 572  +1.59639656543731689e-01 -1.98131024837493896e-01 -1.84014431372795828e-01 -1.98131024837493896e-01
 573  +1.79376542568206787e-01 +1.26474231481552124e-01 +1.39037569474394634e-01 +1.26474231481552124e-01
 574  +1.92101299762725830e-01 +3.97509895265102386e-02 +5.14821341624673232e-02 +3.97509895265102386e-02
 575  +2.23305746912956238e-01 +3.61111760139465332e-02 +4.62030261495828473e-02 +3.61111760139465332e-02
 576  +1.80965080857276917e-01 -6.39891773462295532e-02 -5.15361221955000920e-02 -6.39891773462295532e-02
 577  +2.12422117590904236e-01 -7.79710486531257629e-02 -6.73621339232013255e-02 -7.79710486531257629e-02
 578  +2.17689871788024902e-01 -3.89201752841472626e-02 -2.85679796869800565e-02 -3.89201752841472626e-02
 579  +1.77780061960220337e-01 -2.02637657523155212e-01 -1.89961499649072912e-01 -2.02637657523155212e-01
 580  +1.90628290176391602e-01 -3.91725189983844757e-02 -2.73507262823787858e-02 -3.91725189983844757e-02
 581  +1.17306172847747803e-01 -3.93504887819290161e-01 -3.74293894249524639e-01 -3.93504887819290161e-01
 582  +2.19697013497352600e-01 -7.31036737561225891e-02 -6.28460553370217695e-02 -7.31036737561225891e-02
 583  +1.99738174676895142e-01 -6.14715591073036194e-02 -5.01889480795551582e-02 -6.14715591073036194e-02
 584  +2.03497767448425293e-01 +2.46089309453964233e-01 +2.57163475822118792e-01 +2.46089309453964261e-01
 585  +1.98666319251060486e-01 +2.33614757657051086e-01 +2.44958241246858693e-01 +2.33614757657051086e-01
 586  +1.99025586247444153e-01 +2.35427424311637878e-01 +2.46750431442339518e-01 +2.35427424311637878e-01
 587  +2.25282013416290283e-01 -1.14097699522972107e-01 -1.04094379248540786e-01 -1.14097699522972107e-01
 588  +1.71939447522163391e-01 -2.28019744157791138e-01 -2.14912989630262508e-01 -2.28019744157791138e-01
 589  +1.90940380096435547e-01 -5.11837720870971680e-01 -5.00035250743208759e-01 -5.11837720870971680e-01
 590  +1.94848984479904175e-01 -3.10644447803497314e-01 -2.99078731213866800e-01 -3.10644447803497314e-01
 591  +1.86188846826553345e-01 -8.13109800219535828e-02 -6.92073112432795012e-02 -8.13109800219535828e-02
 592  +1.89107313752174377e-01 -6.31099268794059753e-02 -5.11930523410409899e-02 -6.31099268794059753e-02
 593  +2.09664851427078247e-01 +1.60858154296875000e-01 +1.71606585027791664e-01 +1.60858154296875000e-01
 594  +1.70099407434463501e-01 +1.72349005937576294e-01 +1.85597541992236853e-01 +1.72349005937576294e-01
 595  +2.03551933169364929e-01 +7.27192908525466919e-02 +8.37905103550252578e-02 +7.27192908525466919e-02
 596  +1.94709405303001404e-01 -2.76873320341110229e-01 -2.65299312764203765e-01 -2.76873320341110229e-01
 597  +1.86063125729560852e-01 -1.89096078276634216e-01 -1.76984231163265809e-01 -1.89096078276634216e-01
 598  +1.94468185305595398e-01 +2.35825955867767334e-01 +2.47414319942490080e-01 +2.35825955867767334e-01
 599  +1.98806986212730408e-01 +1.12277783453464508e-01 +1.23613240899917071e-01 +1.12277783453464508e-01
 600  +1.74935162067413330e-01 -1.30644798278808594e-01 -1.17762493168510382e-01 -1.30644798278808594e-01
 601  +2.07682073116302490e-01 +1.47971838712692261e-01 +1.58822886655621276e-01 +1.47971838712692261e-01
 602  +1.73561140894889832e-01 -7.49031528830528259e-02 -6.19188631932502814e-02 -7.49031528830528259e-02
 603  +1.73659443855285645e-01 -4.24956791102886200e-02 -2.95187394043787306e-02 -4.24956791102886200e-02
 604  +1.98583990335464478e-01 -1.68776497244834900e-01 -1.57428310875606575e-01 -1.68776497244834900e-01
 605  +1.91075608134269714e-01 -2.56807059049606323e-01 -2.45012941766523856e-01 -2.56807059049606323e-01
 606  +2.10461989045143127e-01 +2.19692662358283997e-02 +3.26769866298825748e-02 +2.19692662358283997e-02
 607  +1.88900932669639587e-01 +3.85604687035083771e-02 +5.04903628571441859e-02 +3.85604687035083771e-02
 608  +7.37614035606384277e-02 +2.69935205578804016e-02 +5.75456524790043250e-02 +2.69935205578803981e-02
 609  +1.92907869815826416e-01 +2.39508971571922302e-01 +2.51191066939122298e-01 +2.39508971571922302e-01
 610  +1.93990111351013184e-01 -1.98051989078521729e-01 -1.86435066357166140e-01 -1.98051989078521729e-01
 611  +1.84082582592964172e-01 +1.82302162051200867e-01 +1.94544320437553375e-01 +1.82302162051200867e-01
 612  +1.85505107045173645e-01 +1.84075847268104553e-01 +1.96224128079171944e-01 +1.84075847268104553e-01
 613  +1.83492809534072876e-01 +3.91041368246078491e-01 +4.03322874742132353e-01 +3.91041368246078491e-01
 614  +1.81315138936042786e-01 +3.72386686503887177e-02 +4.96676811724308526e-02 +3.72386686503887177e-02
 615  +1.40622124075889587e-01 -4.24757510423660278e-01 -4.08731809296747239e-01 -4.24757510423660278e-01
 616  +1.52986645698547363e-01 +3.13211411237716675e-01 +3.27941900438142919e-01 +3.13211411237716675e-01
 617  +1.97904437780380249e-01 -8.71100425720214844e-02 -7.57228894715299833e-02 -8.71100425720214844e-02
 618  +1.71391427516937256e-01 +2.66881674528121948e-01 +2.80030337590918277e-01 +2.66881674528121948e-01
 619  +1.96008026599884033e-01 -1.09410621225833893e-01 -9.79132954715567494e-02 -1.09410621225833893e-01
 620  +1.86013594269752502e-01 -1.85351133346557617e-01 -1.73236061106171707e-01 -1.85351133346557617e-01
 621  +1.94932013750076294e-01 -1.06415681540966034e-01 -9.48548912484017681e-02 -1.06415681540966034e-01
 622  +1.45329609513282776e-01 +8.05039554834365845e-02 +9.60105555480704476e-02 +8.05039554834365845e-02
 623  +6.16648234426975250e-02 +6.08208961784839630e-02 +9.73663366169217614e-02 +6.08208961784839630e-02
 624  +2.03261658549308777e-01 +2.03771218657493591e-01 +2.14858248785830347e-01 +2.03771218657493591e-01
 625  +1.79631978273391724e-01 -1.80560693144798279e-01 -1.68015220150885936e-01 -1.80560693144798279e-01
 626  +1.87003523111343384e-01 +5.10767757892608643e-01 +5.22818697333627069e-01 +5.10767757892608643e-01
 627  +9.11171510815620422e-02 +9.74611490964889526e-02 +1.22193793889724872e-01 +9.74611490964889526e-02
 628  +1.96643024682998657e-01 -1.99519723653793335e-01 -1.88059524971918995e-01 -1.99519723653793335e-01
 629  +1.98876559734344482e-01 -1.30963534116744995e-01 -1.19632042183848736e-01 -1.30963534116744995e-01
 630  +1.95720523595809937e-01 +1.61521062254905701e-01 +1.73035276967133916e-01 +1.61521062254905701e-01
 631  +1.97744578123092651e-01 -1.53983220458030701e-01 -1.42586861813653210e-01 -1.53983220458030701e-01
 632  +1.68493747711181641e-01 +4.61717247962951660e-01 +4.75092035828284021e-01 +4.61717247962951660e-01
 633  +1.87608212232589722e-01 -2.08219766616821289e-01 -1.96207669142761915e-01 -2.08219766616821289e-01
 634  +2.10939615964889526e-01 -1.35234948247671127e-02 -2.84001973658364396e-03 -1.35234948247671127e-02
 635  +1.34520411491394043e-01 +7.36994445323944092e-02 +9.04520555844060825e-02 +7.36994445323944092e-02
 636  +1.73903152346611023e-01 +2.80395954847335815e-01 +2.93354708624151972e-01 +2.80395954847335815e-01
 637  +1.81204199790954590e-01 -1.19258733466267586e-02 +5.10748623899884985e-04 -1.19258733466267586e-02
 638  +1.92628413438796997e-01 -1.74576472491025925e-02 -5.75860403921859415e-03 -1.74576472491025925e-02
 639  +2.07456946372985840e-01 -4.77546602487564087e-01 -4.66683779276910016e-01 -4.77546602487564087e-01
 640  +1.28302395343780518e-01 -3.12348276376724243e-01 -2.94783770848721038e-01 -3.12348276376724243e-01
 641  +1.85155048966407776e-01 -6.88531339168548584e-01 -6.76360090559061544e-01 -6.88531339168548584e-01
 642  +2.23494261503219604e-01 -1.55527144670486450e-02 -5.46937667969601103e-03 -1.55527144670486450e-02
 643  +1.65860995650291443e-01 -6.19756951928138733e-02 -4.83886060556944567e-02 -6.19756951928138733e-02
 644  +1.81250214576721191e-01 -1.58780157566070557e-01 -1.46346692935230227e-01 -1.58780157566070557e-01
 645  +1.90356925129890442e-01 +4.58959452807903290e-02 +5.77345906609579157e-02 +4.58959452807903290e-02
 646  +1.69521987438201904e-01 -1.33665978908538818e-01 -1.20372316143445249e-01 -1.33665978908538818e-01
 647  +2.28266537189483643e-01 +1.82903394103050232e-01 +1.92775923646884340e-01 +1.82903394103050232e-01
 648  +1.75749957561492920e-01 -1.88241958618164062e-01 -1.75419377244376895e-01 -1.88241958618164062e-01
 649  +1.25734031200408936e-01 -1.26747012138366699e-01 -1.08823717142122633e-01 -1.26747012138366699e-01
 650  +1.89000844955444336e-01 +1.42060995101928711e-01 +1.53984582707069578e-01 +1.42060995101928711e-01
 651  +2.51037538051605225e-01 -1.03394314646720886e-01 -9.44172981026507874e-02 -1.03394314646720886e-01
 652  +2.07492262125015259e-01 +1.19056046009063721e-01 +1.29917020337417699e-01 +1.19056046009063721e-01
 653  +2.01982095837593079e-01 +2.14377626776695251e-01 +2.25534893577629431e-01 +2.14377626776695251e-01
 654  +1.90724223852157593e-01 +8.38840901851654053e-02 +9.56999365771725868e-02 +8.38840901851654053e-02
 655  +4.87650744616985321e-02 +1.94796726107597351e-01 +2.41009474824753545e-01 +1.94796726107597351e-01
 656  +1.90932691097259521e-01 +4.10471469163894653e-01 +4.22274414585765534e-01 +4.10471469163894653e-01
 657  +2.22179099917411804e-01 +4.02030050754547119e-02 +5.03460299284205354e-02 +4.02030050754547119e-02
 658  +1.85249537229537964e-01 +1.96347907185554504e-01 +2.08512947735585930e-01 +1.96347907185554504e-01
 659  +1.10419765114784241e-01 +9.11243259906768799e-02 +1.11533426933150742e-01 +9.11243259906768799e-02
 660  +1.84239208698272705e-01 +6.24943822622299194e-02 +7.47261333004279743e-02 +6.24943822622299194e-02
 661  +1.83373659849166870e-01 -2.23899185657501221e-01 -2.11609699075155921e-01 -2.23899185657501221e-01
 662  +1.95638462901115417e-01 -4.07290190458297729e-01 -3.95771146100384608e-01 -4.07290190458297729e-01
 663  +2.03218609094619751e-01 +8.56510996818542480e-02 +9.67404784661692746e-02 +8.56510996818542480e-02
 664  +1.92990586161613464e-01 +7.03295022249221802e-02 +8.20065906109054832e-02 +7.03295022249221802e-02
 665  +1.58949360251426697e-01 -2.30474114418029785e-01 -2.16296214433360556e-01 -2.30474114418029785e-01
 666  +1.96811228990554810e-01 -7.94564113020896912e-02 -6.80060070551854884e-02 -7.94564113020896912e-02
 667  +1.73786401748657227e-01 -3.12528789043426514e-01 -2.99561329509215324e-01 -3.12528789043426514e-01
 668  +1.48792818188667297e-01 +3.78861904144287109e-01 +3.94007582273821488e-01 +3.78861904144287109e-01
 669  +1.45084679126739502e-01 +1.07413813471794128e-01 +1.22946591610988754e-01 +1.07413813471794128e-01
 670  +6.12169466912746429e-02 -1.32919028401374817e-01 -9.61062134199786589e-02 -1.32919028401374817e-01
 671  +1.75331935286521912e-01 +1.11810527741909027e-01 +1.24663680412523056e-01 +1.11810527741909027e-01
