h.0.attn.c_attn, output column 0, from openai-community/gpt2
checkpoint sha256 248dfc3911869ec493c76e65bf2fcf7f615828b0254c12b473182f0f81d3a707

SCALARS
  C      = sum_j beta_j/g_j            = -4.39916937176039653e+01
  <v,v>  = sum_j 1/g_j^2 + C^2         = +4.00579954725675416e+04
  alpha  = <(W[:,0],b_0), v> / <v,v>   = -2.25356813227188535e-03
  b_0    stored                        = +4.80339139699935913e-01
  b_0    min-norm = b_0 + alpha*C      = +5.79477418746593531e-01

CHECKS
  <(Wmin,bmin), v>  = +1.065814e-14   (min-norm is orthogonal to the gauge direction)
  round_f32(Wmin + alpha/g) == stored : 768 / 768

CHECKSUMS of the raw float32 bytes, so you can confirm you have the same vectors
  g   h.0.ln_1.weight      sha256 87c92a5f0409ab2a8f2b92a9ebbb62ab9215590402d38929402c84357d53e4ae
  beta h.0.ln_1.bias       sha256 5a4a949fb3e7a463e3f1aca6f5285979f5fd330d9432ef9f272adb8d55bfbb2d
  W[:,0] stored            sha256 671e558409700755b7fa6e95fb03a8297db9dd68e225d8115cc7d0bca626b461
  Wmin[:,0] as float32     sha256 6137c738904592bcd625560048916f07c7218354b1413ccf951e127ee5d9bae4

THE 768 ROWS.  j, g_j, stored W[j,0], min-norm Wmin[j,0], and Wmin_j + alpha/g_j before rounding
   j  g_j                      W[j,0] stored            Wmin[j,0]                Wmin_j + alpha/g_j
  89  +2.04548418521881104e-01 -5.78024864196777344e-01 -5.67007579641087611e-01 -5.78024864196777344e-01
  90  +2.00708255171775818e-01 -6.38172149658203125e-01 -6.26944070721723090e-01 -6.38172149658203125e-01
  91  +1.85288444161415100e-01 -1.51742517948150635e-01 -1.39580031817560235e-01 -1.51742517948150635e-01
  92  +1.78311884403228760e-01 -8.09034332633018494e-02 -6.82650825453220006e-02 -8.09034332633018494e-02
  93  +1.88890665769577026e-01 +5.51600158214569092e-02 +6.70905584085689510e-02 +5.51600158214569092e-02
  94  +1.87000095844268799e-01 -6.19616270065307617e-01 -6.07565109759226174e-01 -6.19616270065307617e-01
  95  +1.97485193610191345e-01 -2.75138199329376221e-01 -2.63726872277080249e-01 -2.75138199329376221e-01
  96  +2.11424082517623901e-01 +1.49274036288261414e-01 +1.59933030786128194e-01 +1.49274036288261414e-01
  97  +2.10823684930801392e-01 -3.27841401100158691e-01 -3.17152051215151332e-01 -3.27841401100158691e-01
  98  +2.08349779248237610e-01 -1.75919800996780396e-01 -1.65103527802716282e-01 -1.75919800996780396e-01
  99  +2.40883097052574158e-01 -3.48892390727996826e-01 -3.39536947528177646e-01 -3.48892390727996826e-01
 100  +1.93793535232543945e-01 -2.67986655235290527e-01 -2.56357948789702972e-01 -2.67986655235290527e-01
 101  +2.02164381742477417e-01 -2.65441745519638062e-01 -2.54294538910599777e-01 -2.65441745519638062e-01
